Date,Player,Club Name,Brand/Model,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance,Target Total Distance,Target Carry Distance,Note,Tag,Air Density,Temperature,Air Pressure,Relative Humidity,Back Stroke Length,Target Backswing Time,Target Downswing Time,Forward Stroke Length,Backswing Time,Downswing Time,Target Tempo,Swing Tempo
,,,,,[mph],[deg],[deg],[deg],[deg],[mph],[deg],[deg],[rpm],[rpm],[rpm],,[deg],[ft],[Yards],[deg],[Yards],[Yards],[deg],[Yards],[Yards],[Yards],,,[g/L],[deg F],[kPa],[%],[Inches],[sec],[sec],[Inches],[sec],[sec],,
7/2/26 8:42:41 AM,Amar,,,Pitching Wedge,,,,0.0,,85.83124313682168,23.6200008392334,-4.570000171661377,6087.33203125,2106.73779296875,6441.580078125,Measured,-19.09000015258789,59.28477590165426,107.74277848104376,-11.859999656677246,-22.15660567463018,115.70429030157241,-12.300000190734863,-24.650044745764813,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:42:53 AM,Amar,,,Pitching Wedge,,,,0.0,,81.37974469424489,26.09000015258789,2.930000066757202,6120.1123046875,636.7706909179688,6153.14990234375,Measured,-5.940000057220459,60.95800499903561,101.50918601796174,0.7400000095367432,1.3013998875989272,109.04418097601997,0.6100000143051147,1.1592300336609154,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:43:07 AM,Amar,,,Pitching Wedge,,,,0.0,,76.413743395249,27.34000015258789,0.6299999952316284,5144.42431640625,617.9890747070312,5181.41015625,Measured,-6.849999904632568,55.28215348251222,93.94138399593056,-1.600000023841858,-2.62467202030559,103.07305336832896,-1.7699999809265137,-3.182414792028312,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:43:29 AM,Amar,,,Pitching Wedge,,,,0.0,,91.49069775831896,22.690000534057617,-0.75,7414.0166015625,1020.8673706054688,7483.97021484375,Measured,-7.840000152587891,68.66798000385755,116.76508819232984,-4.179999828338623,-8.519247552332708,122.61592601332244,-4.309999942779541,-9.21916043873117,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:43:41 AM,Amar,,,Pitching Wedge,,,,0.0,,64.40139789622259,30.649999618530273,7.210000038146973,2245.909423828125,-402.88897705078125,2281.760009765625,Measured,10.170000076293945,41.79789951154253,75.34995792418952,9.180000305175781,12.01880989842319,88.89982602310515,9.4399995803833,14.588801566697168,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:43:57 AM,Amar,,,Pitching Wedge,,,,0.0,,69.70293451908579,27.75,1.6299999952316284,4508.98388671875,-76.34300994873047,4509.6298828125,Measured,0.9700000286102295,45.4724398184949,82.21784810277316,1.899999976158142,2.7230971232904015,92.88057776156582,1.9199999570846558,3.1167977959673756,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:44:10 AM,Amar,,,Pitching Wedge,,,,0.0,,88.13529332023735,30.260000228881836,-1.7200000286102295,3188.416748046875,123.0439224243164,3190.7900390625,Measured,-2.2100000381469727,83.03805599062461,121.7738391011823,-2.4700000286102295,-5.238407657319584,133.89107644922987,-2.5199999809265137,-5.883639670210978,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:44:31 AM,Amar,,,Pitching Wedge,,,,0.0,,90.17090500467746,26.59000015258789,-2.0299999713897705,7408.8564453125,297.5704040527344,7414.830078125,Measured,-2.299999952316284,79.59317660394302,113.95450234934623,-3.049999952316284,-6.058617631072865,118.85389359708638,-3.0799999237060547,-6.38670182916436,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:44:52 AM,Amar,,,Pitching Wedge,,,,0.0,,81.93897876725849,27.510000228881836,1.5499999523162842,6602.662109375,-571.8524780273438,6627.3798828125,Measured,4.949999809265137,66.43700787401575,101.58573861510109,3.4600000381469727,6.124234366396072,107.78652401421014,3.549999952316284,6.660105153748787,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:45:08 AM,Amar,,,Pitching Wedge,,,,0.0,,78.3822497215626,27.040000915527344,2.4600000381469727,6231.494140625,899.082275390625,6296.02001953125,Measured,-8.210000038146973,58.497375077775764,95.9317598651609,-0.46000000834465027,-0.7764654183533769,103.02930783516257,-0.6299999952316284,-1.1373577885531796,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:45:37 AM,Amar,,,Pitching Wedge,,,,0.0,,90.5959198282033,24.84000015258789,-2.940000057220459,5859.35595703125,1241.1697998046875,5989.3701171875,Measured,-11.960000038146973,72.34251718195718,117.91338549302736,-7.860000133514404,-16.13079615048119,125.90769603392167,-8.109999656677246,-17.77121609798775,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:45:49 AM,Amar,,,Pitching Wedge,,,,0.0,,80.73103112157277,24.040000915527344,-0.20999999344348907,5738.11181640625,1072.8218994140625,5837.5400390625,Measured,-10.59000015258789,53.313648293963254,100.20778352298554,-3.9100000858306885,-6.835083114610674,109.2191631086855,-4.170000076293945,-7.950568658056118,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:45:59 AM,Amar,,,Pitching Wedge,,,,0.0,,82.99033302192443,23.520000457763672,-2.1600000858306885,5986.16552734375,1781.14111328125,6245.52978515625,Measured,-16.56999969482422,54.82283164197065,103.17147456024784,-8.1899995803833,-14.69816227076039,111.73446868869785,-8.600000381469727,-16.699475566233236,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:46:08 AM,Amar,,,Pitching Wedge,,,,0.0,,88.24713842819313,23.729999542236328,0.9200000166893005,7653.56201171875,1004.8927612304688,7719.25,Measured,-7.480000019073486,66.69947481530858,110.89239012016503,-2.2699999809265137,-4.396325438458567,116.32764954788061,-2.390000104904175,-4.844706723904881,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:46:38 AM,Amar,,,9 Iron,,,,0.0,,81.51395541049791,24.709999084472656,3.240000009536743,5414.12548828125,377.6429138183594,5427.27978515625,Measured,-3.990000009536743,56.561679039101584,102.79965004374453,1.840000033378601,3.2917760175669915,112.40157346817243,1.7300000190734863,3.4011372431056706,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:46:51 AM,Amar,,,9 Iron,,,,0.0,,98.53704195834948,23.200000762939453,-1.9600000381469727,6117.28173828125,287.41363525390625,6124.02978515625,Measured,-2.690000057220459,82.3490826163705,131.95538458235933,-3.190000057220459,-7.338145273564056,139.78565145978152,-3.240000009536743,-7.906824167840646,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:47:10 AM,Amar,,,9 Iron,,,,0.0,,99.23049528085085,21.93000030517578,-0.3799999952316284,6539.69921875,1005.3875122070312,6616.52978515625,Measured,-8.739999771118164,78.74015748031496,131.76946398050038,-4.420000076293945,-10.15966749983927,139.1513537442799,-4.590000152587891,-11.14391905116284,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:47:28 AM,Amar,,,9 Iron,,,,0.0,,106.12025462309633,21.399999618530273,-2.200000047683716,7777.03271484375,913.59130859375,7830.509765625,Measured,-6.699999809265137,91.37139232765658,139.66535332947578,-5.690000057220459,-13.845144190083234,144.8162709634135,-5.78000020980835,-14.577865183405573,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:47:45 AM,Amar,,,9 Iron,,,,0.0,,100.28185806875155,23.270000457763672,-4.320000171661377,6310.39990234375,953.2317504882812,6381.990234375,Measured,-8.59000015258789,85.6955408111332,133.90201491842328,-8.34000015258789,-19.411636045494312,141.1745366774832,-8.489999771118164,-20.855205265555796,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:47:59 AM,Amar,,,9 Iron,,,,0.0,,92.85522172855495,23.84000015258789,2.3399999141693115,6260.076171875,435.5513610839844,6275.2099609375,Measured,-3.9800000190734863,74.24540407075656,121.69728650404295,0.6299999952316284,1.334208255260531,129.33071099762736,0.5400000214576721,1.2248468993529873,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:48:14 AM,Amar,,,9 Iron,,,,0.0,,93.41445580156855,26.3700008392334,3.1700000762939453,7483.67041015625,-691.6043701171875,7515.56005859375,Measured,5.28000020980835,85.13779777867275,118.85389359708638,5.610000133514404,11.625109486483943,123.56736424296756,5.679999828338623,12.237532349500547,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:48:31 AM,Amar,,,9 Iron,,,,0.0,,100.72923850057461,23.06999969482422,-1.9800000190734863,6669.72607421875,1703.8115234375,6883.91015625,Measured,-14.329999923706055,85.10498862879795,132.89588434281103,-8.800000190734863,-20.330271382970135,139.5122481351971,-9.050000190734863,-21.948818563893504,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:48:49 AM,Amar,,,9 Iron,,,,0.0,,107.12687766116777,24.780000686645508,0.44999998807907104,7047.96044921875,585.6403198242188,7072.25,Measured,-4.75,106.92257267909413,141.62292213473316,-2.0399999618530273,-5.041557451349961,147.01442768567503,-2.0999999046325684,-5.391513373073735,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:49:11 AM,Amar,,,9 Iron,,,,0.0,,78.89674404474694,22.780000686645508,0.05000000074505806,5384.783203125,227.57223510742188,5389.58984375,Measured,-2.4200000762939453,47.080053744979416,97.0800488222511,-0.7400000095367432,-1.257655267014591,107.70997141707079,-0.8100000023841858,-1.531058591599018,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:49:41 AM,Amar,,,8 Iron,,,,0.0,,107.66374612588412,20.34000015258789,-2.4600000381469727,5135.615234375,1015.9475708007812,5235.14013671875,Measured,-11.1899995803833,84.84252168750513,150.8311441042709,-7.630000114440918,-20.034995291802513,161.17673324892007,-7.900000095367432,-22.15660567463018,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:49:55 AM,Amar,,,8 Iron,,,,0.0,,106.00840951514057,21.489999771118164,1.9900000095367432,5355.04541015625,704.05419921875,5401.1298828125,Measured,-7.489999771118164,87.86089464122541,147.4409528917528,-1.5099999904632568,-3.882327156951317,156.999122439407,-1.6799999475479126,-4.5931756444281895,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:50:08 AM,Amar,,,8 Iron,,,,0.0,,104.84520161928411,21.440000534057617,3.7699999809265137,5367.568359375,374.3955078125,5380.60986328125,Measured,-3.990000009536743,85.85958030280166,145.6364809371668,1.9299999475479126,4.910323459228088,155.26028129998156,1.840000033378601,4.986876577842892,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:50:25 AM,Amar,,,8 Iron,,,,0.0,,104.33070729609976,21.0,1.1100000143051147,6250.85693359375,566.6725463867188,6276.490234375,Measured,-5.179999828338623,84.48162729658792,141.65572919870613,-1.3700000047683716,-3.4011372431056706,149.68284680357337,-1.4800000190734863,-3.860454911843581,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:50:46 AM,Amar,,,8 Iron,,,,0.0,,111.08625592209223,18.860000610351562,-0.5099999904632568,6140.47314453125,1013.24560546875,6223.509765625,Measured,-9.369999885559082,86.87663891809818,153.094931641693,-5.199999809265137,-13.888888680298706,161.8328912155939,-5.400000095367432,-15.234033579588562,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:51:05 AM,Amar,,,8 Iron,,,,0.0,,109.38618809475417,19.639999389648438,0.5400000214576721,7057.13916015625,-126.87908172607422,7058.27978515625,Measured,1.0299999713897705,89.73097238015002,147.7471632803102,1.0700000524520874,2.7559054909520055,154.560369456534,1.090000033378601,2.930883712551621,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:51:25 AM,Amar,,,8 Iron,,,,0.0,,81.67054026828293,20.360000610351562,1.649999976158142,3685.999755859375,314.70556640625,3699.409912109375,Measured,-4.880000114440918,41.46981739935286,102.60279931629945,0.25999999046325684,0.4593175709612622,118.82108653311342,0.07999999821186066,0.16404200126909937,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:51:38 AM,Amar,,,8 Iron,,,,0.0,,81.96134437555574,20.299999237060547,0.3199999928474426,4443.75439453125,487.4552001953125,4470.41015625,Measured,-6.260000228881836,42.91338557646343,102.3075273969355,-1.6100000143051147,-2.8762030997822814,116.28390401471422,-1.8300000429153442,-3.7073491960894303,,,,,1.1789069,71.6,100.38,50,,,,,,,,
7/2/26 8:51:53 AM,Amar,,,8 Iron,,,,0.0,,113.59162217988742,21.6299991607666,2.4100000858306885,6089.00244140625,-47.823890686035156,6089.18994140625,Measured,0.44999998807907104,105.51181052300561,157.29440270237828,2.640000104904175,7.250656293133113,165.037186857075,2.6500000953674316,7.622484459964622,,,,,1.1789069,71.6,100.38,50,,,,,,,,
